name,degree,ecc,clos,betw,eigen,hub,trans,PR,triangles_numb,motif1,motif2,motif3,motif5,strength
ENSG00000001036,63,5,1.06181910849668e-05,860.687332731203,0.0191617880080329,0.0191617880080326,0.582181259600614,4.80990436261619e-05,1137,7993,10340,6044,557,749.5
ENSG00000001461,4,5,3.36348360032698e-06,0.0,4.14764401988041e-06,4.14764401987369e-06,0.166666666666667,1.39739498793598e-05,1,104590,141490,206440,49243,23587.0
ENSG00000001561,8,5,1.12467468784654e-05,0.0,3.11727508229495e-06,3.11727508228167e-06,0.214285714285714,1.63946370280702e-05,6,45749,33099,16160,5707,1134.9
ENSG00000001630,969,4,9.89040442852749e-06,6.13526262123806,0.0440756076201399,0.0440756076201382,0.329627544797823,0.0002525472632605,154594,2559,21473,36783,12108,8571.7
ENSG00000001631,71,4,3.06338480126136e-06,0.0,0.0002281049466961,0.000228104946696,0.110261569416499,4.35098268268237e-05,274,3751,8823,15946,435,2905.8
ENSG00000002587,13,5,5.76595193848441e-06,0.0,4.17861458425477e-05,4.17861458425233e-05,0.41025641025641,2.31924927657589e-05,32,87715,234850,265100,85799,3435.7
ENSG00000002746,123,4,9.73962097291025e-06,0.0,0.00052746061054,0.0005274606105398,0.215113954418233,7.76297703220844e-05,1614,3070,3037,3478,293,244.8
ENSG00000003056,92,5,1.12585734036469e-05,1149.69983416985,0.0010791745454001,0.0010791745453999,0.118490205446727,7.78894858559342e-05,496,7019,13643,17744,1233,998.0
ENSG00000003137,1203,4,1.04492880377596e-05,278.933410890127,0.0556107510151811,0.0556107510151788,0.359919668383119,0.0002144041786951,260223,17212,37030,51686,4806,3786.5
ENSG00000003393,256,5,1.13446855820391e-05,1990.91537030269,0.0003467233255317,0.0003467233255313,0.338051470588235,9.96196016881973e-05,11034,8393,14108,14380,525,1456.8
ENSG00000003402,259,4,1.15584220442225e-05,4479.25356421681,0.0007528715559026,0.0007528715559022,0.2492891562659,0.0001275577799672,8329,5054,17001,26937,1824,1819.7
ENSG00000003756,203,5,1.13468095608217e-05,12.8011788427309,0.0005587801002511,0.0005587801002507,0.340389211334927,0.0001242273265229,6979,73062,78485,87124,24919,2580.1
ENSG00000003987,319,4,1.04189783774942e-05,0.0,0.0224532144289406,0.0224532144289398,0.634825811793931,5.72828288816347e-05,32199,297,3517,7444,78,535.9
ENSG00000003989,481,4,7.73267224140822e-06,12533.962962963,0.0201405240209356,0.0201405240209347,0.44254158004158,0.0001137766520586,51087,8305,27512,25292,1793,4315.5
ENSG00000004399,132,4,9.72463717378705e-06,0.0,9.32666979717963e-05,9.32666979715769e-05,0.271108026833218,5.39982797410597e-05,2344,187920,803470,708420,464560,19162.0
ENSG00000004468,567,4,1.03903444606996e-05,1926.1462535014,0.0518282753826723,0.0518282753826708,0.627797408716137,0.0001079732605655,100737,2860,7251,11629,216,1305.7
ENSG00000004660,417,4,1.13832206773927e-05,484.554332079036,0.0047614425172071,0.0047614425172063,0.561762128758532,8.89754385819959e-05,48725,19184,43825,44842,18781,1517.8
ENSG00000004809,41,5,8.77824400007022e-06,14769.2309185561,0.0022040300071904,0.0022040300071903,0.490243902439024,2.40407615558498e-05,402,3642,10552,18349,604,1729.9
ENSG00000004897,169,4,1.03903552566366e-05,216.091875404252,0.0003543725779128,0.0003543725779125,0.16025641025641,9.72439287418726e-05,2275,27230,21371,11894,1236,509.3
ENSG00000005001,55,5,1.00086174195983e-05,12566.3309718633,5.96729367677593e-05,5.96729367676679e-05,0.668686868686869,3.28639003932192e-05,993,782,7055,11779,346,1208.4
ENSG00000005007,310,4,1.15036806026088e-05,22795.6007566518,0.0008740720447274,0.0008740720447269,0.120513623551519,0.0001831202959691,5772,136930,367390,415580,138630,6136.2
ENSG00000005059,11,5,1.01595558242194e-05,0.0,7.80664221984011e-06,7.80664221982203e-06,0.0909090909090909,1.45406219905736e-05,5,979,1659,2655,51,154.0
ENSG00000005100,13,5,3.62178693172354e-06,0.0,1.82294343276925e-05,1.82294343276698e-05,0.243589743589744,1.73502620660551e-05,19,0,171,32,0,17.8
ENSG00000005108,5,5,2.09785441939246e-06,0.0,6.47382904112246e-06,6.47382904111393e-06,0.0,1.53261399080201e-05,0,91,3416,6417,29,366.8
ENSG00000005469,141,5,1.12581678007395e-05,544.284874828895,0.0055221171087714,0.0055221171087712,0.57467071935157,6.21434691172059e-05,5672,5905,9480,12022,309,758.1
ENSG00000005486,13,5,2.92346713847542e-06,0.0,1.17354553111068e-05,1.17354553110855e-05,0.0769230769230769,1.90369798623129e-05,6,3,387,1475,0,56.4
ENSG00000005801,6,5,3.00349456592718e-06,0.0,5.87975259715299e-05,5.87975259715196e-05,0.2,1.54795634401728e-05,3,594,6542,8515,147,947.9
ENSG00000006047,12,5,9.6499481315288e-06,0.0,2.1420194779496e-06,2.14201947793014e-06,0.227272727272727,1.37484521512377e-05,15,167,1003,698,980,524.8
ENSG00000006210,194,4,1.14142612062363e-05,8902.87223272235,0.0001474717835093,0.000147471783509,0.184498691309225,9.42515775289714e-05,3454,63,335,379,3,418.4
ENSG00000006432,580,4,1.06150013321827e-05,997.048990943803,0.0051581852008886,0.0051581852008875,0.383252933118933,0.0001272949457338,64352,25,1002,2801,3,415.5
ENSG00000006453,154,4,1.12593466651504e-05,823.138019392664,0.0001095028183898,0.0001095028183895,0.281639928698752,4.38801910678005e-05,3318,2390,9430,13679,690,2006.1
ENSG00000006468,98,5,1.03133611656573e-05,18925.18118944,0.0001710746502609,0.0001710746502608,0.32968651378077,3.97112901488944e-05,1567,3630,5328,6330,816,536.2
ENSG00000006576,3,5,5.88028446464083e-06,0.0,4.19169835992336e-06,4.19169835991833e-06,0.333333333333333,1.2866962204373e-05,1,82266,193810,157850,187430,11551.0
ENSG00000006607,191,5,1.04510353318151e-05,518.314978797297,0.0002341042718812,0.0002341042718809,0.295949297327087,8.00090687896826e-05,5370,58351,95414,99672,39199,3852.4
ENSG00000006611,61,5,1.13240536488366e-05,7358.69187338937,0.0001303435465992,0.0001303435465991,0.188524590163934,4.80474523762636e-05,345,9108,22927,21907,2479,5624.2
ENSG00000006638,79,5,1.03561372022481e-05,0.0,0.0005588119858292,0.000558811985829,0.176566049983772,3.47593431909248e-05,544,146,3698,5160,60,382.1
ENSG00000006740,29,5,9.70776708736895e-06,0.0,2.37494309237913e-05,2.37494309237421e-05,0.280788177339901,2.04612548302822e-05,114,1,22,5,0,18.8
ENSG00000007062,6,5,1.12440912300586e-05,0.0,1.4756258625498e-05,1.4756258625487e-05,0.333333333333333,1.46664472060858e-05,5,4779,7154,5162,543,74.1
ENSG00000007129,67,5,1.02714223352079e-05,22022.2346969451,5.76399581966773e-05,5.76399581965666e-05,0.179556761646314,2.59667693557096e-05,397,188,1913,3742,26,280.0
ENSG00000007168,562,4,1.15895939353973e-05,21954.6484599006,0.0286357132605187,0.0286357132605175,0.214297042013182,0.0002646925558545,33782,621,1953,3379,6,152.2
ENSG00000007171,1240,4,1.03080668869843e-05,2123.86727089872,0.0713115559574393,0.0713115559574368,0.379879715691635,0.0002170742348191,291816,49741,163950,147860,6849,8802.3
ENSG00000007376,10,5,4.56855064558156e-06,0.0,5.73614898551823e-06,5.73614898550157e-06,0.0666666666666667,1.61348414954109e-05,3,14892,33617,45575,6118,3604.6
ENSG00000007944,200,5,1.02501865533953e-05,12532.0,0.0002134157953736,0.0002134157953732,0.211909547738693,9.79093629305278e-05,4217,5319,14293,16486,985,2168.8
ENSG00000008018,171,5,1.14690341811626e-05,2265.39576654786,0.0021812051633205,0.0021812051633202,0.186102511179911,0.000178578095867,2705,4225,2999,3729,165,949.5
ENSG00000008118,210,5,5.39368798270157e-06,0.0,0.0053279898868514,0.0053279898868509,0.414399635452267,6.96010680999795e-05,9094,2258,6079,7760,183,1403.5
ENSG00000008277,93,5,1.12997542303455e-05,16078.8489968648,0.0001820697356956,0.0001820697356954,0.381720430107527,4.17305850940082e-05,1633,29,1099,3884,7,223.4
ENSG00000008311,404,4,1.13834927970949e-05,0.0,0.0534896190270844,0.0534896190270834,0.688954131145124,0.0001727870218026,56085,26245,51781,50424,9559,7368.3
ENSG00000008324,11,5,2.78338707589858e-06,0.0,9.78389041422632e-06,9.78389041420763e-06,0.0181818181818182,1.87591276830055e-05,1,49566,85879,121280,29207,7471.3
ENSG00000008382,3,5,9.82719854085758e-06,0.0,5.08038950288908e-08,5.08038950240591e-08,0.0,1.39458698108255e-05,0,37848,16877,13418,3562,1537.2
ENSG00000008394,803,4,1.14495076711701e-05,8919.2069572544,0.0578084535321702,0.0578084535321685,0.351670636608976,0.0003790291082519,113239,3995,11196,18093,865,1960.1
ENSG00000008441,43,5,1.12958356772192e-05,12498.8503317106,3.03629099779903e-05,3.03629099779194e-05,0.300110741971207,2.47385824730111e-05,271,1903,5006,5535,85,747.2
